date,event
2024-09-11 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT). Agosto de 2024
2024-09-12 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Julio de 2024
2024-09-13 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia. Agosto de 2024"
2024-09-17 16:00:00,Índice del costo de la construcción (ICC). Agosto de 2024
2024-09-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Agosto de 2024
2024-09-18 16:00:00,Informe de avance del nivel de actividad. Segundo trimestre de 2024
2024-09-19 16:00:00,Mercado de trabajo. Tasas e indicadores socioeconómicos. Segundo trimestre de 2024
2024-09-19 16:00:00,Intercambio comercial argentino (ICA). Agosto de 2024
2024-09-20 16:00:00,Encuesta de ocupación hotelera (EOH). Julio de 2024
2024-09-24 16:00:00,Industria farmacéutica en la Argentina. Segundo trimestre de 2024
2024-09-24 16:00:00,Indicadores del sector energético. Segundo trimestre de 2024
2024-09-25 16:00:00,Encuesta de supermercados. Julio de 2024
2024-09-25 16:00:00,Encuesta de autoservicios mayoristas. Julio de 2024
2024-09-25 16:00:00,Encuesta nacional de centros de compras. Julio de 2024
2024-09-25 16:00:00,Estimador mensual de actividad económica (EMAE). Julio de 2024
2024-09-26 16:00:00,Incidencia de la pobreza y de la indigencia. Primer semestre de 2024
2024-09-26 16:00:00,Estadísticas de turismo internacional (ETI). Agosto de 2024
2024-09-27 16:00:00,"Balanza de pagos, posición de inversión internacional y deuda externa. Segundo trimestre de 2024"
2024-09-27 16:00:00,Índice de salarios. Julio de 2024
2024-09-27 16:00:00,Estadísticas de Productos Industriales (EPI)
2024-09-30 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades. Agosto de 2024"
