;Res Int;TC;TCR
1/12/2007;45710.79387;3.140706452;159.1101801
1/1/2008;46910.03226;3.144051613;159.2734042
1/2/2008;48407.37931;3.158;159.4473402
1/3/2008;50039.09677;3.154683871;159.142951
1/4/2008;50329.86667;3.166526667;156.144035
1/5/2008;49448.83871;3.151832258;153.6565149
1/6/2008;47918.33333;3.044403333;148.5095952
1/7/2008;47600.41935;3.022196774;146.9897328
1/8/2008;47300.3871;3.033503226;143.6135403
1/9/2008;47072.23333;3.083106667;137.3532237
1/10/2008;46608.19355;3.234809677;128.2264116
1/11/2008;45663.53333;3.332003333;127.5374521
1/12/2008;46198.3871;3.4254;129.1323358
1/1/2009;46789.35484;3.463196774;131.1838531
1/2/2009;47058.03571;3.511103571;131.3550094
1/3/2009;46933.45161;3.653232258;135.8494032
1/4/2009;46268.23333;3.692033333;137.7460081
1/5/2009;46556.25806;3.726722581;142.5475007
1/6/2009;46385.13333;3.768586667;147.6897291
1/7/2009;45992.16129;3.808916129;149.1663071
1/8/2009;44850.82395;3.8391;151.693456
1/9/2009;45192.77823;3.84279;151.1492328
1/10/2009;45733.03226;3.826716129;151.5515604
1/11/2009;46803.83333;3.811263333;150.4590855
1/12/2009;47716.67962;3.806154839;146.2790669
1/1/2010;48116.40104;3.80456129;141.4312742
1/2/2010;47958.67857;3.852089286;135.7472411
1/3/2010;47681.90323;3.862509677;133.7412777
1/4/2010;47551.83333;3.875446667;132.6178678
1/5/2010;48470.68022;3.901474194;128.2050296
1/6/2010;49228.98773;3.92618;126.6062775
1/7/2010;50448.48702;3.934977419;127.9627514
1/8/2010;50209.65263;3.937312903;127.7242665
1/9/2010;50920.09288;3.951046667;128.705697
1/10/2010;51606.91027;3.956864516;129.4934086
1/11/2010;52236.0862;3.967856667;126.0122888
1/12/2010;52132.30753;3.977251613;124.5031696
1/1/2011;52364.92451;3.981435484;124.6128744
1/2/2011;52427.03571;4.022307143;126.4536865
1/3/2011;52287.09677;4.036535484;126.5272777
1/4/2011;51637.3;4.066126667;128.2284041
1/5/2011;51986.80645;4.083858065;125.8459768
1/6/2011;52094.3;4.095523333;125.2949227
1/7/2011;51852.19355;4.127680645;125.573085
1/8/2011;50387.77419;4.168558065;123.5206013
1/9/2011;49421;4.205006667;116.6555775
1/10/2011;48038.06452;4.220954839;114.0946606
1/11/2011;46464.73333;4.25991;113.0822888
1/12/2011;45982.51613;4.28786129;110.4145925
1/1/2012;46557.29032;4.319719355;111.1028037
1/2/2012;46811.2069;4.347506897;113.8107072
1/3/2012;47168.25806;4.355722581;109.8015863
1/4/2012;47462.33333;4.396693333;106.9018238
1/5/2012;47435.77419;4.449077419;102.6251833
1/6/2012;46603.63333;4.496966667;100.2668273
1/7/2012;46647.19355;4.551841935;100.0953517
1/8/2012;45256.63636;4.609827273;100.4626452
1/9/2012;45228.03333;4.669746667;101.528392
1/10/2012;45062.22727;4.72985;101.8086095
1/11/2012;45314.9;4.79739;100.6502712
1/12/2012;44134;4.880780645;101.3799943
1/1/2013;42953.93548;4.947641935;102.5190373
1/2/2013;42180.85714;5.008510714;103.4803764
1/3/2013;41152.90323;5.087254839;102.6753824
1/4/2013;40075.23333;5.153176667;102.193108
1/5/2013;39015.3871;5.235774194;101.3135458
1/6/2013;38233.96667;5.33032;99.06137456
1/7/2013;37310.16129;5.440148387;97.28322889
1/8/2013;37001.22581;5.581006452;96.86066868
1/9/2013;35611.76667;5.73681;98.92359791
1/10/2013;34221.22727;5.848195455;100.5266187
1/11/2013;32244.36667;6.01169;98.56686492
1/12/2013;30611.74194;6.338141935;101.0293971
1/1/2014;29620.67742;7.055135484;108.1811214
1/2/2014;27678.05;7.8621;114.7985277
1/3/2014;27331.48387;7.926448387;112.1581575
1/4/2014;27679.93333;8.0011;111.6109017
1/5/2014;28386.3871;8.038567742;109.7969389
1/6/2014;28862.76667;8.126483333;108.453025
1/7/2014;29519.16129;8.159080645;107.0853822
1/8/2014;28861.3871;8.316654839;105.6947782
1/9/2014;28280.56667;8.41933;102.4840937
1/10/2014;27569.83871;8.479222581;98.96845257
1/11/2014;28476.96667;8.513503333;95.99836243
1/12/2014;30232.77419;8.550780645;93.0411173
1/1/2015;31274.64516;8.599493548;91.27074383
1/2/2015;31349.96429;8.684421429;88.68122894
1/3/2015;31431.54839;8.78013871;84.55035611
1/4/2015;31998.8;8.86574;84.90425846
1/5/2015;33796.16129;8.947619355;84.84281978
1/6/2015;33680.03333;9.04277;84.01860376
1/7/2015;33871.55161;9.139654839;82.33926246
1/8/2015;33720.70968;9.241564516;79.25537915
1/9/2015;33423.33333;9.365346667;76.19734652
1/10/2015;28144.43333;9.48552;76.09302118
1/11/2015;26193.23333;9.627663333;75.43439534
1/12/2015;24815.64516;11.38721613;85.1047705
1/1/2016;25967.83871;13.61139355;96.00213027
1/2/2016;29359.2069;14.79722759;102.4634069
1/3/2016;28861.87097;14.90855806;103.0302412
1/4/2016;31015.46667;14.42089;97.42026494
1/5/2016;31581.09677;14.13235806;91.45739042
1/6/2016;31484.73333;14.10193333;89.33309146
1/7/2016;33231.06452;14.91008387;92.87274639
1/8/2016;32141.45161;14.84170645;92.82664013
1/9/2016;30886.23333;15.08771333;93.32111332
1/10/2016;36430.19355;15.18353871;92.19434523
1/11/2016;37705.2;15.34329333;89.21752658
1/12/2016;37853.48387;15.84293871;90.14417286
1/1/2017;41153.96774;15.89294194;90.88310833
1/2/2017;48464.07143;15.57656786;89.01321351
1/3/2017;51488.03226;15.52647097;86.83092294
1/4/2017;50371.63333;15.34427;83.96481445
1/5/2017;47707.25806;15.69447742;84.44986304
1/6/2017;45375.79938;16.08858667;85.29732262
1/7/2017;47931.77419;17.14967419;91.30317204
1/8/2017;48353.45161;17.42523548;92.71486141
1/9/2017;50837.26667;17.23093667;90.89855593
1/10/2017;51692.48387;17.45903548;89.36639363
1/11/2017;53992.43333;17.49257667;87.68938183
1/12/2017;55581.92581;17.72330968;87.11088553
1/1/2018;60625.74839;19.01719355;93.55053866
1/2/2018;62300.26786;19.853925;96.16828709
1/3/2018;61756.30645;20.23240323;95.59514392
1/4/2018;60762.77667;20.2679;92.15099066
1/5/2018;54008.86452;23.56355806;101.4166031
1/6/2018;53347.16667;26.60973667;109.3370047
1/7/2018;60102.84839;27.66831935;109.457646
1/8/2018;55909.90323;29.88457419;113.2687523
1/9/2018;50302.67667;38.54600333;136.7418199
1/10/2018;48951.92581;37.03450645;126.9623749
1/11/2018;52631.34667;36.33836667;118.8914676
1/12/2018;56977.66774;37.89552903;119.2202731
1/1/2019;66171.57419;37.39590645;116.6460656
1/2/2019;66984.04643;38.34004286;116.6601491
1/3/2019;67958.42581;41.18951935;119.7632832
1/4/2019;72678.57333;43.10660333;120.1434682
1/5/2019;67700.96774;44.88088065;119.4355862
1/6/2019;64400.75667;43.78344;114.7878983
1/7/2019;66133.21613;42.45080645;109.8224166
1/8/2019;62324.97419;52.46450968;127.7766586
1/9/2019;50273.33667;56.5866;130.7072384
1/10/2019;46674.48065;58.51454839;129.7872667
1/11/2019;43488.15333;59.72723;127.0394649
1/12/2019;44357.24839;59.87849355;123.6680699
1/1/2020;45197.98065;59.98913871;120.9372782
1/2/2020;44731.22414;61.34256207;119.0772576
1/3/2020;44262.89032;63.24710968;114.9014838
1/4/2020;43734.67;65.67531667;112.1040666
1/5/2020;43084.11935;67.70596774;112.3791493
1/6/2020;43051.15667;69.549;117.0584681
1/7/2020;43312.84516;71.37817097;118.5506585
1/8/2020;43152.29355;73.24596774;119.7593954
1/9/2020;42350.33333;75.183;120.4637723
1/10/2020;40739.42903;77.53994516;119.1731731
